"DAT_EMISSAO","TipoVeiculo","QTD_CHASSI","VALOR_TOTAL_NF"
"2006-09-08","Caminhonete",4,317400
"2006-09-08","Outros",1,3714933.41
"2006-09-08","Outros",7,288783.18
"2006-09-08","Outros",4,463400
"2006-09-09","Motocicleta",10,58284.82000000001
"2006-09-09","Motocicleta",57,407484.54000000004
"2006-09-09","Outros",1,6000
"2006-09-09","Automóvel",23,856756.31
"2006-09-09","Outros",2,118520.38
"2006-09-10","Motocicleta",7,45194
"2006-09-11","Motocicleta",25,143284.96
"2006-09-11","Motocicleta",147,960878.42
"2006-09-11","Automóvel",100,3738829.659999999
"2006-09-11","Ônibus e Microonibus",1,43000
"2006-09-11","Caminhonete",3,150980
"2006-09-11","Caminhão",2,174150
"2006-09-11","Outros",8,660151.27
"2006-09-11","Outros",8,1059700
"2006-09-12","Motocicleta",24,137344.06
"2006-09-12","Motocicleta",142,896561.4699999997
"2006-09-12","Automóvel",89,2960140.9199999995
"2006-09-12","Ônibus e Microonibus",1,70000
"2006-09-12","Ônibus e Microonibus",1,124847
"2006-09-12","Caminhonete",16,889362.8300000001
"2006-09-12","Caminhão",2,255500
"2006-09-12","Outros",1,131523.81
"2006-09-12","Outros",9,505739.29000000004
"2006-09-12","Outros",1,190000
"2006-09-13","Motocicleta",31,179751.36
"2006-09-13","Motocicleta",190,1200863.59
"2006-09-13","Automóvel",91,3485675.7499999995
"2006-09-13","Caminhonete",6,361131.57999999996
"2006-09-13","Caminhão",3,202509
"2006-09-13","Outros",1,205000.01
"2006-09-13","Outros",6,432720.16000000003
"2006-09-13","Outros",3,321400
"2006-09-14","Motocicleta",16,86640.38
"2006-09-14","Motocicleta",177,1146344.41
"2006-09-14","Automóvel",110,4426418.369999999
"2006-09-14","Ônibus e Microonibus",2,115500
"2006-09-14","Caminhonete",11,479466.83999999997
"2006-09-14","Caminhão",9,838900
"2006-09-14","Outros",10,645192.74
"2006-09-14","Outros",1,75679.2
"2006-09-15","Motocicleta",24,136868.02999999997
"2006-09-15","Motocicleta",176,1186773.1199999999
"2006-09-15","Automóvel",72,2719468.3800000004
"2006-09-15","Ônibus e Microonibus",2,203640
"2006-09-15","Caminhonete",6,321483.97
"2006-09-15","Caminhão",7,872060
"2006-09-15","Outros",12,705615.0399999999
"2006-09-15","Outros",1,75000
"2006-09-16","Motocicleta",6,32944.55
"2006-09-16","Motocicleta",61,381254.71
"2006-09-16","Automóvel",12,424991.38999999996
"2006-09-16","Ônibus e Microonibus",1,72000
"2006-09-16","Caminhonete",2,104200
"2006-09-16","Outros",2,170715
"2006-09-16","Outros",2,314800
"2006-09-17","Motocicleta",1,8297
"2006-09-18","Motocicleta",22,130883.91
"2006-09-18","Motocicleta",183,1163365.2600000002
"2006-09-18","Automóvel",203,6644673.869999999
"2006-09-18","Ônibus e Microonibus",1,93500
"2006-09-18","Ônibus e Microonibus",1,321500
"2006-09-18","Caminhonete",17,1017101.15
"2006-09-18","Caminhão",6,557400
"2006-09-18","Outros",32,2160916.2800000003
"2006-09-18","Outros",5,686631
"2006-09-19","Motocicleta",44,257998.14
"2006-09-19","Motocicleta",191,1359757.5899999999
"2006-09-19","Automóvel",178,5909856.35
"2006-09-19","Ônibus e Microonibus",1,41500
"2006-09-19","Ônibus e Microonibus",1,547200
"2006-09-19","Caminhonete",8,717560
"2006-09-19","Caminhão",3,296850
"2006-09-19","Outros",1,260000
"2006-09-19","Outros",8,451557.2
"2006-09-19","Outros",7,1018350
"2006-09-20","Motocicleta",33,188736.83
"2006-09-20","Motocicleta",193,1310390.4899999998
"2006-09-20","Outros",1,15000
"2006-09-20","Automóvel",105,3426026.62
"2006-09-20","Caminhonete",3,216420
"2006-09-20","Caminhão",7,1056500
"2006-09-20","Outros",19,1392034.54
"2006-09-20","Outros",4,581700
"2006-09-21","Motocicleta",34,198052.43999999997
"2006-09-21","Motocicleta",204,1343693.3700000003
"2006-09-21","Automóvel",109,3620134.82
"2006-09-21","Ônibus e Microonibus",17,4299127.1
"2006-09-21","Caminhonete",4,312652
"2006-09-21","Caminhão",12,1529980
"2006-09-21","Outros",19,1209655.48
"2006-09-21","Outros",4,456848
"2006-09-22","Motocicleta",22,126494.23999999999
